id,name,sku,upc,url_key,image,description,special_price,regular_price,tier_prices,min price,categories,status
6088,Sew-On Red Rhinestones,CN501,717968223616,sew-on-red-rhinestones,"https://www.koleimports.com/media/catalog/product/C/N/CN501.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","These pretty rhinestones are just waiting to be sewn onto a dance costume, a doll dress or some other pretty fabric project. Package includes 12 rhinestones in a silver base. Each includes space for thread so these can easily and securely be sewn onto the project.",0.12,0.22,"0.18,0.16",0.12,"Closeouts, Crafts, Rhinestones, Specials, Clearance Sale, Blowout Specials",IN_STOCK
47091,Theme Gift Bags in Assorted Styles,AF635,875636100192,theme-gift-bags-in-assorted-styles,"https://www.koleimports.com/media/catalog/product/A/F/AF635_1.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Skip the gift wrapping and use this Theme Gift Bags to insert your gift. Find the best theme for the occasion and decorated it with gift tissue. This assortment includes most holidays and occasions. Most gift bags are approximately 12.75"" x 10"" x 4.25"" in size.,Theme Gift Bags in Assorted Styles,",,0.41,"0.34,0.31",0.31,"Closeouts, Gift Wrapping, Gift Bags, Specials",IN_STOCK
45332,Lavender Flowers Medium Gift Bag,AF534,048419790938,lavender-flowers-medium-gift-bag,"https://www.koleimports.com/media/catalog/product/A/F/AF534.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Ideal for any occasion, this Lavender Flower Medium Gift Bag features purple woven handles. Match with colorful tissue paper to add a surprise element to your gift. The bag is approximately 9' x 7.50"" x 4"" in size and comes packaged loose.,Lavender Flowers Medium Gift Bag,",,0.41,"0.34,0.31",0.31,"Closeouts, Gift Wrapping, Gift Bags",IN_STOCK
55655,Square Shaker Card,HC458,729632167133,square-shaker-card-hc458,"https://www.koleimports.com/media/catalog/product/H/C/HC458.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Shaker Cards by Jillibean Soup, lets you add a moving element to your handmade cards or greetings.  Create fun cards to give to family and friends! Simply add the corresponding shaped shaker and contents to your card (not included).  Includes 6 cards measuring 5.5"" x 4.25"", with matching envelopes.  Comes packaged in a hanging poly bag with a header card.,Square Shaker Card,",,0.51,"0.43,0.39",0.39,"Closeouts, Gift Wrapping, Greeting Cards, Specials",IN_STOCK
31444,Small Design Your Own Gift Bags Set,GH475,731015221622,small-design-your-own-gift-bags-set,"https://www.koleimports.com/media/catalog/product/G/H/GH475.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Perfect for decorating and personalizing, this 3-piece Small Design Your Own Gift Bags Set features eco-friendly brown paper bags with twisted paper handles. Each bag measures approximately 6"" x 4"". Comes packaged in a poly bag with a header card.,Small Design Your Own Gift Bags Set,",,1.16,"0.97,0.88",0.88,"Gift Wrapping, Gift Bags",IN_STOCK
46718,Large It's A Boy Baby Fox Gift Bag,AF594,,large-it-s-a-boy-baby-fox-gift-bag,"https://www.koleimports.com/media/catalog/product/A/F/AF594.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Perfect for baby showers and gender reveals, this Large It's A Boy Baby Fox Gift Bag. The gift bag is approximately 12.50"" x 10"" x 5"" in size. It features a matte paper bag with an orange and white fox with a grey background. Comes packaged loose. ,Large It's A Boy Baby Fox Gift Bag,",,0.65,"0.54,0.49",0.49,"Closeouts, Gift Wrapping, Gift Bags, Specials",IN_STOCK
50011,Gold Striped Gift Bag,GB182,634680518915,gold-striped-gift-bag,"https://www.koleimports.com/media/catalog/product/G/B/GB182.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","This Gold Striped Gift Bag is perfect for hiding away a birthday present, housewarming gift, easter present, or for cute packaging for your small business items! It can hold most small-medium sized gifts with ease. The bag is gold-colored with golden stripes darker than the background going across the front and back of the gift bag. It comes packaged alone along with a pink tag. The handle on the car is a beautiful hot pink. ,Gold Striped Gift Bag,",,0.65,"0.54,0.49",0.49,"Closeouts, Gift Wrapping, Gift Bags, Specials",IN_STOCK
31445,Design Your Own Gift Bags Set,GH476,731015221639,design-your-own-gift-bags-set,"https://www.koleimports.com/media/catalog/product/G/H/GH476.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Perfect for decorating and personalizing, this 2-piece Design Your Own Gift Bags Set features medium-sized eco-friendly brown paper bags with twisted paper handles. Each bag measures approximately 6"" x 9"". Comes packaged in a poly bag with a header card.,Design Your Own Gift Bags Set,",,1.1,"0.91,0.83",0.83,"Gift Wrapping, Gift Bags",IN_STOCK
38688,Wine Gift Bags Set,HH316,731015250653,wine-gift-bags-set,"https://www.koleimports.com/media/catalog/product/H/H/HH316.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Great for giving wine, spirits and other bottled items, this 2-piece Wine Gift Bags Set features eco-friendly brown paper bags with twisted paper handles and a black polka dot print. Simple design is perfect for decorating and personalizing.  Bags measure approximately 5"" x 4"" x 13.125"". Comes packaged with a wrap around. ,Wine Gift Bags Set,",,1.16,"0.97,0.88",0.88,"Gift Wrapping, Gift Bags",IN_STOCK
50017,Unicorn Magic Gift Bag,GB188,634680333914,unicorn-magic-gift-bag,"https://www.koleimports.com/media/catalog/product/G/B/GB188.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Celebrate your favorite little one's birthday and/or favorite unicorn lover's birthday with this absolutely adorable blue-haired Unicorn Magic Gift Bag. It's decorated extremely cute, being a solid baby pink color with a pretty white-haired unicorn right on the front, with colorful confetti shapes scattered about. The bag comes with a golden handle.,Unicorn Magic Gift Bag,",,0.65,"0.54,0.49",0.49,"Closeouts, Gift Wrapping, Gift Bags, Specials",IN_STOCK
46720,Large It's A Girl Baby Rabbit Gift Bag,AF596,,large-it-s-a-girl-baby-rabbit-gift-bag,"https://www.koleimports.com/media/catalog/product/A/F/AF596.jpg?quality=80&bg-color=255,255,255&height=230&width=265&canvas=265:230","Perfect for baby showers and gender reveals, this Large It's A Girl Baby Rabbit Gift Bag. The gift bag is approximately 12.75"" x 10"" x 5"" in size. It features a matte paper bag with a grey and pink bunny with a lime green background. Comes packaged loose. ,Large It's A Girl Baby Rabbit Gift Bag,",,0.65,"0.54,0.49",0.49,"Closeouts, Gift Wrapping, Gift Bags, Specials",IN_STOCK
